iter	MultiClass
118	0.5832565709
119	0.583229721
120	0.5787140079
121	0.5775324324
122	0.5744514102
123	0.5728968285
124	0.5718427601
125	0.5694473008
126	0.5689662047
127	0.5685847313
128	0.5682185576
129	0.5680234866
130	0.5680013371
131	0.5648958389
132	0.5648628128
133	0.564223073
134	0.5610640341
135	0.5564433623
136	0.5527758808
137	0.5526958054
138	0.5521976342
139	0.5520303377
140	0.5516866765
141	0.5512584339
142	0.5481612675
143	0.5481486733
144	0.547724381
145	0.5476791121
146	0.5455772033
147	0.5455066429
148	0.5423095719
149	0.5422186111
150	0.5417857102
151	0.5391433234
152	0.5366821407
153	0.5363418715
154	0.5356497789
155	0.5356415841
156	0.5334709718
157	0.5333251894
158	0.5332916635
159	0.5330219995
160	0.5329931676
161	0.5329686386
162	0.5322783655
163	0.5299412741
164	0.5294369968
165	0.5292271292
166	0.5292133756
167	0.5285558947
168	0.5260800074
169	0.5240107418
170	0.5222645817
171	0.5200834302
172	0.519951779
173	0.5186482729
174	0.5183103418
175	0.5181191046
176	0.5167066102
177	0.5159058175
178	0.513573771
179	0.5135648244
180	0.5130727495
181	0.5130533334
182	0.5127632935
183	0.5125154481
184	0.5110045699
185	0.509060554
186	0.5073311046
187	0.5073250076
188	0.5051603045
189	0.5049375501
190	0.503958756
191	0.5037285489
192	0.5032066707
193	0.5012818142
194	0.5011368282
195	0.5007125974
196	0.5006531521
197	0.4995811299
198	0.4992277589
199	0.497944975
200	0.4960723813
201	0.495956145
202	0.4953634264
203	0.4945232372
204	0.4943549335
205	0.4942258044
206	0.4942142799
207	0.4940401387
208	0.4935948264
209	0.4934634056
210	0.4924503181
211	0.4902948767
212	0.4900061548
213	0.4900006665
214	0.489366135
215	0.4892179918
216	0.4888881665
217	0.4887070758
218	0.4885200545
219	0.4885083516
220	0.487235704
221	0.4860183832
222	0.485920488
223	0.4859121047
224	0.4856813496
225	0.4854231086
226	0.4850587316
227	0.4846330376
228	0.4846291258
229	0.4837416493
230	0.4835613145
231	0.4835337911
232	0.4827405658
233	0.4823069638
234	0.4820194065
235	0.4819747621
236	0.4819701828
237	0.4818687148
238	0.4804295717
239	0.4800258739
240	0.4795925568
241	0.4785857498
242	0.4785134354
243	0.478369464
244	0.4780810959
245	0.4779150063
246	0.4777703656
247	0.4775058286
248	0.476939022
249	0.47688481
250	0.4767781026
251	0.4761075754
252	0.4759547027
253	0.4757323457
254	0.4756200265
255	0.474550954
256	0.4736093362
257	0.4728960548
258	0.4720589737
259	0.4712121143
260	0.4710244517
261	0.4709586675
262	0.4707660066
263	0.4705731579
264	0.4703792603
265	0.4702686633
266	0.4695785011
267	0.4693719463
268	0.4691915311
269	0.4690495381
270	0.4689764466
271	0.4688692026
272	0.4687985555
273	0.468727213
274	0.4684432082
275	0.468268803
276	0.4675652493
277	0.4674080398
278	0.4673035463
279	0.4672375201
280	0.4664470419
281	0.4662516119
282	0.4662176828
283	0.4661203145
284	0.46604567
285	0.46590701
286	0.4657206528
287	0.4655842276
288	0.4654076705
289	0.4653324481
290	0.4651866071
291	0.464880491
292	0.4647574675
293	0.4646308585
294	0.4641234347
295	0.4640369249
296	0.4632089849
297	0.4631224427
298	0.4630220767
299	0.4628274325
300	0.4626191218
301	0.4616959718
302	0.4615832669
303	0.4613318609
304	0.4609412923
305	0.4605041054
306	0.4601536609
307	0.4601221236
308	0.459960846
309	0.4597115574
310	0.4592328704
311	0.4591718453
312	0.4590172729
313	0.4589495833
314	0.458835804
315	0.4587861437
316	0.4585403813
317	0.457335766
318	0.4567872953
319	0.4566483585
320	0.4565803934
321	0.4563503234
322	0.4562620946
323	0.4561460486
324	0.4560648247
325	0.4559916105
326	0.4558991523
327	0.4557460844
328	0.455709337
329	0.4553916905
330	0.4548125248
331	0.4546615838
332	0.4542171905
333	0.4537726835
334	0.4530618538
335	0.4528492872
336	0.4526738825
337	0.451788024
338	0.4512207333
339	0.4507626317
340	0.4506355582
341	0.4505275239
342	0.4504831156
343	0.4503792118
344	0.4502297234
345	0.4501239365
346	0.4498720153
347	0.4493879384
348	0.4489668942
349	0.4489340133
350	0.4487777029
351	0.4483647492
352	0.4483296088
353	0.4482229371
354	0.4481118243
355	0.4476251869
356	0.447200418
357	0.4466745484
358	0.4466101252
359	0.4465285678
360	0.4464461041
361	0.4459728675
362	0.4458791433
363	0.4458154629
364	0.4450409706
365	0.4447462042
366	0.4443800536
367	0.4443015394
368	0.4441557259
369	0.4437544491
370	0.4436628986
371	0.4435396597
372	0.4434048731
373	0.4429505025
374	0.442594277
375	0.4425718818
376	0.4423213816
377	0.4422796621
378	0.441757491
379	0.4416670121
380	0.4414665858
381	0.441305164
382	0.4409985
383	0.4409286386
384	0.440780296
385	0.4406438683
386	0.4404376597
387	0.440240801
388	0.4401063445
389	0.4400272193
390	0.4398652284
391	0.4396611095
392	0.4392333997
393	0.4388700516
394	0.4381664855
395	0.4380682392
396	0.4377618669
397	0.4376608135
398	0.4375303898
399	0.4373107669
